,Yrke,Antal,SBL_SKBL
779,Stadsfiskal,,SBL_only
780,Stadsingenjör,,SBL_only
781,Stadsplaneingenjör,,SBL_only
782,Stadsplanerare,,SBL_only
783,Stadsträdgårdsmästare,,SBL_only
784,Standardiseringsexpert,,SBL_only
785,Statistiker,,SBL_only
786,Statsman,,SBL_only
787,Statsminister,,SBL_only
788,Statsråd,,SBL_only
789,Statsrättsjurist,,SBL_only
790,Statssekreterare,,SBL_only
791,Statsvetare,,SBL_only
792,Stenhuggare,,SBL_only
793,Stenografisk systemutvecklare,,SBL_only
794,Stensättare,,SBL_only
795,Stolmakare,,SBL_only
796,Storman,,SBL_only
797,Storviltjägare,,SBL_only
798,Stuckatör,,SBL_only
799,Styckgjutare,,SBL_only
800,Styrkekvinna,,SBL_only
801,Ståthållare,,SBL_only
802,Superintendent,,SBL_only
803,Superkargör,,SBL_only
804,Swedenborgare,,SBL_only
805,Sågverkskonstruktör,,SBL_only
806,Sågverksägare,,SBL_only
807,Sångare,38,both
808,Sångpedagog,,SBL_only
809,Sångtextförfattare,,SBL_only
810,Taffeltäckare,,SBL_only
811,Talman,,SBL_only
812,Tandläkare,1,both
813,Tapettryckare,,SBL_only
814,Teaterchef,,SBL_only
815,Teaterdekoratör,,SBL_only
816,Teaterdirektör,8,both
817,Teaterhistoriker,,SBL_only
818,Teaterkritiker,,SBL_only
819,Teaterledare,,SBL_only
820,Teaterlärare,,SBL_only
821,Teaterman,,SBL_only
822,Teaterproducent,,SBL_only
823,Teaterrecensent,,SBL_only
824,Teaterregissör,,SBL_only
825,Tecknare,,SBL_only
826,Teckningslärare,,SBL_only
827,Teknolog,,SBL_only
828,Telegraftjänsteman,,SBL_only
